pathway	padj	NES	size	leadingEdge
kegg - cell cycle	7.44e-09	2.36	119	MCM7,CDC25A,TTK,ESPL1,CCNE1,CCNE2,CDC6,SKP2,CCNB1,CDK4,ANAPC11,CDK1,CDC45,CCNB2,MCM2,E2F3,CDC20,E2F1,ORC1,CCNA2,BUB1,MAD2L1,CDC25C,CDKN2A,E2F4,TFDP1,PKMYT1,CHEK1,MCM4,CHEK2,PTTG1,ZBTB17,CDC7,YWHAZ,CDK2,GSK3B,RAD21,MAD2L2,MCM5,E2F2,HDAC1,PLK1,RBL1,MCM6,PCNA,CCND1,PRKDC,ANAPC5,YWHAB,HDAC2,BUB3,YWHAG
reactome - base excision repair	7.44e-09	2.69	70	POLD1,POLE,LIG1,TDG,RFC5,UNG,POLE2,H2AC8,POLD2,H2AX,H2AZ1,RFC4,NEIL3,MUTYH,H4C4,H2BC9,FEN1,H2BC1,PARP1,RFC2,H4C5,H2AC4,H2BC4,RFC3,H4C1,ACD,PCNA,POLB,H4C13,H2BC11,NTHL1,H2BC6,PNKP,H2BC5,H2BC13,ADPRHL2,H4C9,RPA3,XRCC1,PARP2,SMUG1,APEX1,H2AC6,H2BC3
reactome - cell cycle	7.44e-09	2.64	588	MCM7,CENPO,TPX2,CDC25A,NCAPG,POLD1,EXO1,POLE,CDCA8,SKA1,ESPL1,PLK4,ERCC6L,BRCA1,TUBB,GINS2,CENPF,KIF2C,CEP131,KNL1,CENPL,NCAPD3,GINS1,CCNE1,PSMD3,CCNE2,BLM,LIN9,NUF2,OIP5,PSMD4,MCM10,GINS4,FOXM1,SGO1,CDC6,NEK2,SKP2,NUP210,SGO2,PCNT,SPDL1,LIG1,SMC4,RFC5,CENPM,TOP2A,RUVBL2,CCNB1,CDK4,ANAPC11,NDC80,DSN1,PSMD2,AURKA,HAUS8,NUP85,MND1,CENPI,CDK1,KIF23,POLE2,CDC45,H2AC8,BABAM1,POLD2,H3C11,SPAST,HJURP,CCNB2,MCM2,CENPW,H2AX,BORA,KIF20A,E2F3,CDC20,NCAPH,H2AZ1,RFC4,CENPK,PSMC3IP,E2F6,AURKB,H3C7,E2F1,BIRC5,ORC1,CCNA2,BUB1,ESCO2,TK1,CDT1,CDCA5,H3C2,CENPX,NCAPD2,UBE2C,MAD2L1,TUBGCP4,TOPBP1,PIAS4,PSMB4,HMMR,CKAP5,WRAP53,LMNB1,DNA2,BRCA2,RAE1,CLSPN,ZWINT,PSMC2,NSD2,CENPU,CDC25C,CHTF18,CENPE,CEP72,CDKN2A,H4C4,NUP107,RCC2,RUVBL1,H2BC9,E2F4,TFDP1,FEN1,MIS18A,DYNLL1,KNTC1,H2BC1,LIN37,PKMYT1,FBXO5,CHEK1,CENPH,MCM4,CHEK2,CENPA,RFC2,PTTG1,FKBPL,CDC7,PSMD11,CKS1B,PCBP4,H4C5,YWHAZ,CDK2,GSK3B,RAD21,H2AC4,H2BC4,RFC3,PPP2R5D,RANGAP1,NUP155,SPC25,RRM2,TUBA1B,TYMS,SEM1,MCM5,MIS18BP1,CENPN,E2F2,ZWILCH,HDAC1,H4C1,KIF18A,TP53BP1,ODF2,CEP135,NUP42,PLK1,RBL1,XPO1,ACD,TUBG1,PPP2R2D,MCM6,NUP37,DSCC1,PSMB3,PCNA,CCND1,PSMA5,NUP205,ANAPC5,MZT2B,MASTL,RAB2A,YWHAB,NCAPH2,TMPO,H4C13,H2BC11,RHNO1,PSMB2,HSP90AB1,NUDC,KMT5A,UBE2I,UBE2V2,INCENP,PSMD14,CENPQ,AKT2,PPP2R1B,NUP50,BUB3,MAU2,YWHAG,AKT1,PSMD8,H2BC6,CEP41,PSME3,BANF1,TUBGCP6,H2BC5,ESCO1,UBE2N,H2BC13,H3C1,GINS3,H4C9,RPA3,POLA1,YWHAQ,CDK7,PRIM1,ORC6,TUBB4B,ITGB3BP,SMC2,FGFR1OP,SRC,H3C3,MYBL2,H2AC6,NDC1,H3C8,TPR,H2BC3,PTK6,CHTF8,ANAPC7,NUP93,CSNK1D,PSMB5,E2F5,SUN1,TAOK1,MCM3,PSMA4
reactome - cell cycle checkpoints	7.44e-09	2.85	259	MCM7,CENPO,CDC25A,EXO1,CDCA8,SKA1,ERCC6L,BRCA1,CENPF,KIF2C,KNL1,CENPL,CCNE1,PSMD3,CCNE2,BLM,NUF2,PSMD4,MCM10,SGO1,CDC6,SGO2,SPDL1,RFC5,CENPM,CCNB1,ANAPC11,NDC80,DSN1,PSMD2,NUP85,CENPI,CDK1,CDC45,BABAM1,CCNB2,MCM2,H2AX,CDC20,RFC4,CENPK,AURKB,BIRC5,ORC1,CCNA2,BUB1,UBE2C,MAD2L1,TOPBP1,PIAS4,PSMB4,CKAP5,DNA2,CLSPN,ZWINT,PSMC2,NSD2,CENPU,CDC25C,CENPE,CDKN2A,H4C4,NUP107,RCC2,H2BC9,DYNLL1,KNTC1,H2BC1,PKMYT1,CHEK1,CENPH,MCM4,CHEK2,CENPA,RFC2,CDC7,PSMD11,PCBP4,H4C5,YWHAZ,CDK2,H2BC4,RFC3,PPP2R5D,RANGAP1,SPC25,SEM1,MCM5,CENPN,ZWILCH,H4C1,KIF18A,TP53BP1,PLK1,XPO1,MCM6,NUP37,PSMB3,PSMA5,ANAPC5,YWHAB,H4C13,H2BC11,RHNO1,PSMB2,NUDC,UBE2V2,INCENP,PSMD14,CENPQ,PPP2R1B,BUB3,YWHAG,PSMD8,H2BC6,PSME3,H2BC5,UBE2N,H2BC13,H4C9,RPA3
reactome - cell cycle mitotic	7.44e-09	2.67	485	MCM7,CENPO,TPX2,CDC25A,NCAPG,POLD1,POLE,CDCA8,SKA1,ESPL1,PLK4,ERCC6L,TUBB,GINS2,CENPF,KIF2C,CEP131,KNL1,CENPL,NCAPD3,GINS1,CCNE1,PSMD3,CCNE2,LIN9,NUF2,PSMD4,MCM10,GINS4,FOXM1,SGO1,CDC6,NEK2,SKP2,NUP210,SGO2,PCNT,SPDL1,LIG1,SMC4,RFC5,CENPM,TOP2A,CCNB1,CDK4,ANAPC11,NDC80,DSN1,PSMD2,AURKA,HAUS8,NUP85,CENPI,CDK1,KIF23,POLE2,CDC45,H2AC8,POLD2,H3C11,SPAST,CCNB2,MCM2,H2AX,BORA,KIF20A,E2F3,CDC20,NCAPH,H2AZ1,RFC4,CENPK,E2F6,AURKB,H3C7,E2F1,BIRC5,ORC1,CCNA2,BUB1,ESCO2,TK1,CDT1,CDCA5,H3C2,NCAPD2,UBE2C,MAD2L1,TUBGCP4,PSMB4,HMMR,CKAP5,LMNB1,DNA2,RAE1,ZWINT,PSMC2,CENPU,CDC25C,CENPE,CEP72,CDKN2A,H4C4,NUP107,RCC2,H2BC9,E2F4,TFDP1,FEN1,DYNLL1,KNTC1,H2BC1,LIN37,PKMYT1,FBXO5,CENPH,MCM4,CENPA,RFC2,PTTG1,FKBPL,CDC7,PSMD11,CKS1B,H4C5,CDK2,GSK3B,RAD21,H2AC4,H2BC4,RFC3,PPP2R5D,RANGAP1,NUP155,SPC25,RRM2,TUBA1B,TYMS,SEM1,MCM5,CENPN,E2F2,ZWILCH,HDAC1,H4C1,KIF18A,ODF2,CEP135,NUP42,PLK1,RBL1,XPO1,TUBG1,PPP2R2D,MCM6,NUP37,PSMB3,PCNA,CCND1,PSMA5,NUP205,ANAPC5,MZT2B,MASTL,RAB2A,NCAPH2,TMPO,H4C13,H2BC11,PSMB2,HSP90AB1,NUDC,KMT5A,UBE2I,INCENP,PSMD14,CENPQ,AKT2,PPP2R1B,NUP50,BUB3,MAU2,YWHAG,AKT1,PSMD8,H2BC6,CEP41,PSME3,BANF1,TUBGCP6,H2BC5,ESCO1,H2BC13,H3C1,GINS3,H4C9,RPA3,POLA1,CDK7,PRIM1,ORC6,TUBB4B,ITGB3BP,SMC2,FGFR1OP,SRC,H3C3,MYBL2,H2AC6,NDC1,H3C8,TPR,H2BC3,PTK6,ANAPC7,NUP93,CSNK1D,PSMB5,E2F5,TAOK1,MCM3,PSMA4
reactome - chromosome maintenance	7.44e-09	2.78	92	CENPO,POLD1,KNL1,CENPL,BLM,OIP5,LIG1,RFC5,CENPM,RUVBL2,CENPI,H2AC8,POLD2,HJURP,CENPW,H2AX,H2AZ1,RFC4,CENPK,CENPX,WRAP53,DNA2,CENPU,CHTF18,H4C4,RUVBL1,H2BC9,FEN1,MIS18A,H2BC1,CENPH,CENPA,RFC2,H4C5,H2AC4,H2BC4,RFC3,MIS18BP1,CENPN,H4C1,ACD,DSCC1,PCNA,H4C13,H2BC11,CENPQ,H2BC6,H2BC5,H2BC13,H4C9,RPA3,POLA1,PRIM1,ITGB3BP,H2AC6,H2BC3,CHTF8
reactome - condensation of prophase chromosomes	7.44e-09	2.56	45	NCAPD3,SMC4,CCNB1,CDK1,H2AC8,H3C11,H2AX,H2AZ1,H3C7,H3C2,H4C4,H2BC9,H2BC1,H4C5,H2AC4,H2BC4,H4C1,PLK1,NCAPH2,H4C13,H2BC11,KMT5A,H2BC6,H2BC5,H2BC13,H3C1,H4C9,SMC2,H3C3,H2AC6,H3C8,H2BC3
reactome - deposition of new cenpa containing nucleosomes at the centromere	7.44e-09	2.65	52	CENPO,KNL1,CENPL,OIP5,CENPM,CENPI,H2AC8,HJURP,CENPW,H2AX,H2AZ1,CENPK,CENPX,CENPU,H4C4,RUVBL1,H2BC9,MIS18A,H2BC1,CENPH,CENPA,H4C5,H2AC4,H2BC4,MIS18BP1,CENPN,H4C1,H4C13,H2BC11,CENPQ,H2BC6,H2BC5,H2BC13,H4C9,ITGB3BP,H2AC6,H2BC3
reactome - dna double strand break repair	7.44e-09	2.38	139	POLD1,EXO1,POLE,POLQ,BRCA1,EME1,BLM,SLX4,XRCC3,RFC5,POLE2,BABAM1,POLD2,H2AX,RFC4,KPNA2,TIMELESS,CCNA2,GEN1,RAD51AP1,TOPBP1,PIAS4,DNA2,BRCA2,CLSPN,NSD2,H4C4,H2BC9,FEN1,H2BC1,PARP1,CHEK1,CHEK2,RFC2,LIG4,H4C5,CDK2,H2BC4,RFC3,PALB2,EME2,H4C1,TP53BP1,PCNA,PRKDC,H4C13,H2BC11,RHNO1,EYA3,UBE2I,UBE2V2,PAXIP1,H2BC6,H2BC5,UBE2N,ERCC4,H2BC13,H4C9,RPA3,XRCC1,PARP2
reactome - dna repair	7.44e-09	2.46	283	POLD1,EXO1,POLE,POLQ,BRCA1,DTL,EME1,FANCI,BLM,SLX4,XRCC3,ACTL6A,LIG1,TDG,RFC5,FANCD2,RAD18,UNG,POLE2,H2AC8,BABAM1,POLD2,FANCB,H2AX,H2AZ1,RFC4,POLR2H,KPNA2,ALKBH2,FANCA,TIMELESS,CCNA2,GEN1,GTF2H4,NEIL3,CENPX,MUTYH,RAD51AP1,POLR2D,UBE2T,TOPBP1,PIAS4,DNA2,BRCA2,GTF2H3,FANCL,CLSPN,NSD2,POLR2B,HMGN1,H4C4,RUVBL1,H2BC9,FEN1,GPS1,H2BC1,PARP1,CHEK1,CHEK2,RFC2,LIG4,FANCG,H4C5,CDK2,TFPT,H2AC4,MAD2L2,FAAP24,H2BC4,POLR2F,RFC3,PALB2,EME2,H4C1,ISG15,TP53BP1,MCRS1,ERCC2,PCLAF,ACD,PCNA,PRKDC,NPLOC4,POLB,ACTR5,H4C13,H2BC11,NTHL1,RHNO1,EYA3,UBE2I,UBE2V2,PAXIP1,H2BC6,PNKP,DCLRE1B,SPRTN,POLR2J,H2BC5,POLR2G,UBE2N,ERCC4,H2BC13,ADPRHL2,H4C9,RPA3,FAAP100,XRCC1,ACTR8,USP7,PARP2,SMUG1,CUL4A,CDK7,NFRKB,APEX1,H2AC6,H2BC3,COPS5,RNF4,USP10,INO80E,ERCC8,KDM4A,FAAP20,MPG,ATR,RAD51,YY1,PRPF19,MSH2,TIPIN,BRCC3,SPIDR,H2AJ,POLR2I,DDB1,H2BC12,ERCC3,CHD1L
