pathway	padj	NES	size	leadingEdge
e2f targets	2.50e-09	2.71	195	MCM2,CDK1,MCM4,DDX39A,HMMR,MTHFD2,DNMT1,RNASEH2A,CTPS1,UNG,NME1,MELK,TOP2A,MCM5,GSPT1,KIF2C,TIMELESS,BUB1B,DLGAP5,NCAPD2,HMGB3,CCNE1,SPAG5,SNRPB,CDKN3,CDC20,TACC3,DCTPP1,CCNB2,KIF4A,H2AX,BRCA2,POLE,DSCC1,CDCA3,E2F8,PTTG1,DCLRE1B,SUV39H1,ASF1B,HUS1,RFC2,UBE2T,RRM2,RAD51AP1,MCM3,JPT1,MCM7,MXD3,PLK4,RACGAP1,ESPL1,KPNA2,CDKN2A,SMC4,MYBL2,EZH2,AURKB,TRIP13,BIRC5,AK2,POLD1,DEPDC1,CNOT9,HMGA1,RANBP1,KIF18B,PA2G4,PRKDC,CENPE,TK1,CDC25A,TUBG1,CKS1B,PCNA,MKI67,AURKA,GINS3,UBE2S,CKS2,SPC24,ORC6,HELLS,TCF19,BRCA1,CDCA8,POP7,MCM6,POLD2,MAD2L1,LYAR,LMNB1,SPC25,BARD1,DONSON,MSH2,CDC25B,NASP,RFC3,KIF22,ZW10,NUP205,MRE11,CSE1L,SMC6,PLK1,ATAD2,SSRP1,CDK4,LIG1
g2m checkpoint	2.50e-09	2.35	194	MCM2,CDK1,DDX39A,HMMR,NDC80,STIL,KIF15,CDC7,DTYMK,PBK,TOP2A,RAD54L,MCM5,CDC45,GSPT1,KIF2C,KIF11,SMARCC1,HMGB3,KNL1,CDKN3,CDC20,TACC3,CCNB2,KIF4A,PRC1,H2AX,UPF1,CENPF,BRCA2,POLE,H2BC12,PTTG1,CCNA2,SUV39H1,HUS1,FANCC,MCM3,TPX2,JPT1,PLK4,CHAF1A,EXO1,RACGAP1,ESPL1,KPNA2,NSD2,POLQ,TTK,UBE2C,SMC4,MYBL2,EZH2,AURKB,BIRC5,SLC7A5,HMGA1,NEK2,CENPE,CDC25A,TROAP,CKS1B,MKI67,AURKA,KIF23,UBE2S,CKS2,ORC6,CDC6,E2F1,E2F3,CCNF,NUMA1,MCM6,MAD2L1,LMNB1,NUSAP1,E2F2,SLC38A1,ATF5,BARD1,CDC25B,NASP,CENPA,KIF22,ORC5
myc targets v2	3.88e-09	2.28	56	MCM4,UNG,NOP16,MCM5,DCTPP1,BYSL,EXOSC5,PUS1,MRTO4,PLK4,FARSA,WDR43,IMP4,TFB2M,PA2G4,SRM,NOP2,RRP9,LAS1L,IPO4,PPRC1,AIMP2,RABEPK,SORD,NOC4L,PHB,PLK1,TCOF1,RRP12,CDK4,MYBBP1A,PES1,MAP3K6,SLC19A1,WDR74,HSPE1,SUPV3L1
uv response dn	8.01e-09	-2.21	142	TGFBR3,PTPN21,CELF2,RBPMS,TFPI,VLDLR,MAP1B,CAV1,DAB2,EFEMP1,AKT3,SDC2,PHF3,IGFBP5,PTGFR,IRS1,SYNE1,YTHDC1,DUSP1,PDLIM5,PRKCA,CDON,ADD3,MAGI2,BDNF,PMP22,F3,DYRK1A,IGF1R,CITED2,SMAD3,ATXN1,TOGARAM1,DLC1,SCAF8,NEK7,ATRX,CDK13,SNAI2,GJA1,NR3C1,CDKN1B,FYN,TJP1,NFKB1,PRKAR2B,PTEN,MMP16,AGGF1,LPAR1,MRPS31
dna repair	5.27e-07	1.92	142	SAC3D1,POLR2H,FEN1,TYMS,NME1,ZWINT,ALYREF,RAD51,RFC2,VPS28,NELFB,ADA,POLR2J,GUK1,PNP,POLD1,SEC61A1,CANT1,ADRM1,TARBP2,NELFCD,RFC4,POLR1C,PCNA,POLR2F,TAF6,UMPS,ITPA,NME4,DGUOK,ERCC2,BCAP31,SNAPC5,RFC3,GTF3C5,APRT,POLR2D,SUPT5H,BCAM,POLH,DDB1,RAE1,SSRP1,STX3,BRF2,LIG1,POLR2I,POLB,VPS37D,POLD4,POLR3C,CLP1,MPG,NT5C,POLA2,ZNRD1,TP53,SF3A3,TAF10,AAAS,ADCY6,RNMT,POLR2K
myc targets v1	5.48e-07	1.84	191	MCM2,HDGF,MCM4,CTPS1,TYMS,NOP16,CYC1,NME1,MCM5,CDC45,GSPT1,SMARCC1,PPM1G,CDC20,NHP2,PSMD8,LSM7,PSMC4,CCNA2,CAD,MCM7,CDK2,KPNA2,SRPK1,RANBP1,SNRPA,PA2G4,NCBP1,RFC4,SRM,PCNA,RRP9,XPOT,PSMD3,TRIM28,MCM6,PSMB2,POLD2,LSM2,MAD2L1,CSTF2,C1QBP,COX5A,SNRPA1,CCT7,AIMP2,PSMD14,PRPF31,PHB,TUFM,MRPL9,CDK4,ILF2,CCT5,CCT3,PSMA7,SNRPD1,PSMB3,UBE2L3,HSPE1,STARD7,PSMD1,EIF3J,POLE3,DDX21,SF3B3
mitotic spindle	7.04e-06	1.77	199	SAC3D1,CDK1,NDC80,KIF15,TOP2A,KIF2C,KIF11,DLGAP5,PCNT,SASS6,CCNB2,KPTN,KIF4A,PRC1,TUBA4A,CENPF,BRCA2,ATG4B,ARHGEF2,ECT2,TPX2,RACGAP1,ESPL1,PIF1,TTK,SMC4,BIRC5,NEK2,CEP72,MYH9,CENPE,RHOF,BCL2L11,FLNA,ARHGAP4,CEP250,AURKA,KIF3C,KIF23,GEMIN4,TBCD,NUMA1,KNTC1,PREX1,ARAP3,MYO9B,LMNB1,NUSAP1,ARHGEF11,ANLN,CKAP5,DYNLL2,TAOK2,CNTROB,KIF22,MAP3K11,CENPJ,SHROOM1,RALBP1,PLK1,CEP131,HDAC6,KIF20B,NCK2,MAP1S,RHOT2,DYNC1H1,SYNPO,ACTN4,PXN
glycolysis	8.10e-06	1.76	198	CDK1,STC2,HMMR,VEGFA,RBCK1,PYGB,ALDOA,PKM,SDC1,TSTA3,KIF20A,EXT1,TPI1,PSMC4,GOT1,PGLS,ALG1,PFKP,NDUFV3,PLOD1,NSDHL,DEPDC1,B3GALT6,SRD5A3,MIF,FKBP4,POLR3K,PPFIA4,SDC3,CHST2,SLC25A13,LHPP,PMM2,CLN6,AURKA,TKTL1,GYS1,CAPN5,CHPF2,PC,B4GALT2,VCAN,G6PD,EFNA3,MDH2,SPAG4,GPC1,CLDN3,B3GNT3,NASP,CLDN9,CENPA,ENO1,ENO2,FUT8,ISG20,B4GALT7,EGLN3,MPI,GMPPA,ABCB6,GPR87,B3GAT3,GAPDHS,SLC25A10
uv response up	9.82e-06	1.83	157	POLR2H,FEN1,FGF18,IGFBP2,BAK1,ALDOA,NPTX2,CCNE1,TUBA4A,H2AX,WIZ,MGAT1,GRINA,PPIF,STK25,YKT6,CDK2,KLHDC3,ATP6V1F,CDC34,SIGMAR1,ALAS1,STIP1,DGAT1,FKBP4,RFC4,BCL2L11,SLC6A8,CLCN2,GPX3,CHKA,ICAM1,AGO2,CEBPG,TARS1,CHRNA5,KCNH2,PDAP1,ENO2,CA2,BID,CNP,CDKN2B,HYAL2,GGH,ASNS,SLC6A12,PRKCD,RPN1,RXRB,EPCAM,GRPEL1,AP2S1,MARK2,COL2A1,NPTXR,ATP6V1C1,ARRB2,PRPF3,CASP3,CTSV,CLTB,TAP1,PSMC3,POLE3,DDX21
mtorc1 signaling	7.91e-05	1.65	196	MCM2,PSAT1,MCM4,DDX39A,MTHFD2,UNG,SHMT2,SRD5A1,ALDOA,SLC2A1,GMPS,TUBA4A,GPI,TPI1,PSMC4,PIK3R3,RRM2,GOT1,YKT6,EBP,ELOVL6,PNP,SLC7A5,ATP5MC1,HMBS,DHCR24,STIP1,SERPINH1,CDC25A,TUBG1,AURKA,GAPDH,RRP9,CCNF,CALR,G6PD,ARPC5L,PDAP1,PSMD14,ENO1,NUP205,SORD,PFKL,TES,EGLN3,ASNS,NMT1,PLK1,FADS2,TRIB3,HSPA4,RPN1,DDIT3,SLC1A5,PSMG1,PSME3,GSK3B,PDK1,BUB1,GGA2,PSMB5,WARS1,CORO1A,EEF1E1,PSMD13,HSPE1,ITGB2,FKBP2,MTHFD2L,PHGDH,DHFR,UCHL5,TOMM40,NFKBIB,PSMD12,IMMT,BCAT1,SLC37A4,ACACA,NFYC,PSMC2
